Temp,TC,ID,VIP,V0A,VIP,V0A,VIP,V0A,VIP,V0A,VIP,V0A,VIP,V0A,VIP,V0A,VIP,V0A,VIP,V0A,VIP,V0A,VIP,V0A,VIP,V0A,VIP,V0A,VIP,V0A,VIP,V0A,VIP,V0A,
25,0,, ,0,0.810,0.957,0.811,0.957,
, ,1,0.812,0.957,0.812,0.957,
, ,2,0.812,0.957,0.812,0.957,
25,1,, ,0,0.811,0.957,0.812,0.957,
, ,1,0.812,0.957,0.812,0.957,
, ,2,0.812,0.957,0.812,0.957,
25,2,, ,0,0.811,0.957,0.812,0.957,
, ,1,0.812,0.957,0.811,0.957,
, ,2,0.812,0.957,0.812,0.957,
25,3,, ,0,0.812,0.957,0.812,0.957,
, ,1,0.812,0.957,0.811,0.957,
, ,2,0.811,0.957,0.812,0.957,
