9/27/2017 11:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC780-SF-TC-CHAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IP = 40A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temp,TC,Offset,VIP-0,V0A-0,VIP-1,V0A-1,VIP-2,V0A-2,VIP-3,V0A-3,VIP-4,V0A-4,VIP-5,V0A-5,VIP-6,V0A-6,VIP-7,V0A-7,VIP-8,V0A-8,VIP-9,V0A-9,VIP-10,V0A-10,VIP-11,V0A-11,VIP-12,V0A-12,VIP-13,V0A-13,VIP-14,V0A-14,VIP-15,V0A-15
25,0,2v5,4.495,2.5,4.492,2.498,4.505,2.501,4.495,2.503,4.214,2.501,1.684,1.557,4.502,2.501,4.498,2.503,,,,,,,,,,,,,,,,
25,0,halfVdd,4.869,2.532,4.471,2.51,4.911,2.505,4.96,2.519,4.626,2.499,4.584,2.509,4.584,2.509,4.504,2.503,,,,,,,,,,,,,,,,
25,1,2v5,4.494,2.5,4.492,2.499,4.505,2.501,4.496,2.503,4.215,2.501,1.168,1.159,4.503,2.501,4.499,2.502,,,,,,,,,,,,,,,,
25,1,halfVdd,4.869,2.532,4.471,2.51,4.911,2.504,4.96,2.518,4.627,2.498,4.585,2.509,4.586,2.509,4.503,2.503,,,,,,,,,,,,,,,,
25,2,2v5,4.497,2.501,4.493,2.497,4.507,2.501,4.497,2.503,4.216,2.501,1.296,1.285,4.504,2.501,4.5,2.501,,,,,,,,,,,,,,,,
25,2,halfVdd,4.87,2.531,4.473,2.509,4.912,2.503,4.959,2.518,4.628,2.498,4.587,2.508,4.587,2.508,4.504,2.502,,,,,,,,,,,,,,,,
25,3,2v5,4.499,2.501,4.495,2.497,4.509,2.501,4.497,2.503,4.218,2.501,1.179,1.23,4.506,2.501,4.5,2.502,,,,,,,,,,,,,,,,
25,3,halfVdd,4.871,2.531,4.474,2.508,4.913,2.502,4.96,2.517,4.629,2.497,4.588,2.508,4.587,2.508,4.506,2.502,,,,,,,,,,,,,,,,
25,4,2v5,4.5,2.502,4.496,2.496,4.51,2.502,4.499,2.502,4.219,2.501,1.353,1.337,4.506,2.501,4.502,2.5,,,,,,,,,,,,,,,,
25,4,halfVdd,4.872,2.53,4.475,2.509,4.914,2.503,4.959,2.516,4.631,2.497,4.589,2.508,4.589,2.507,4.507,2.501,,,,,,,,,,,,,,,,
25,5,2v5,4.503,2.502,4.497,2.496,4.512,2.502,4.498,2.504,4.22,2.501,1.272,1.325,4.508,2.501,4.502,2.501,,,,,,,,,,,,,,,,
25,5,halfVdd,4.873,2.53,4.476,2.508,4.915,2.502,4.96,2.516,4.633,2.497,4.59,2.508,4.59,2.508,4.507,2.502,,,,,,,,,,,,,,,,
25,6,2v5,4.504,2.503,4.499,2.496,4.513,2.503,4.501,2.503,4.222,2.501,1.286,1.254,4.508,2.5,4.504,2.5,,,,,,,,,,,,,,,,
25,6,halfVdd,4.874,2.53,4.477,2.508,4.916,2.502,4.958,2.516,4.633,2.497,4.591,2.507,4.591,2.507,4.509,2.501,,,,,,,,,,,,,,,,
25,7,2v5,4.506,2.503,4.5,2.496,4.515,2.502,4.5,2.503,4.223,2.502,1.312,1.366,4.51,2.501,4.504,2.5,,,,,,,,,,,,,,,,
25,7,halfVdd,4.875,2.529,4.479,2.508,4.917,2.501,4.958,2.516,4.635,2.496,4.592,2.507,4.592,2.507,4.511,2.5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0,2v5,4.495,2.5,4.492,2.498,4.505,2.501,4.495,2.503,4.214,2.501,1.684,1.557,4.502,2.501,4.498,2.503,,,,,,,,,,,,,,,,
25,1,2v5,4.494,2.5,4.492,2.499,4.505,2.501,4.496,2.503,4.215,2.501,1.168,1.159,4.503,2.501,4.499,2.502,,,,,,,,,,,,,,,,
25,2,2v5,4.497,2.501,4.493,2.497,4.507,2.501,4.497,2.503,4.216,2.501,1.296,1.285,4.504,2.501,4.5,2.501,,,,,,,,,,,,,,,,
25,3,2v5,4.499,2.501,4.495,2.497,4.509,2.501,4.497,2.503,4.218,2.501,1.179,1.23,4.506,2.501,4.5,2.502,,,,,,,,,,,,,,,,
25,4,2v5,4.5,2.502,4.496,2.496,4.51,2.502,4.499,2.502,4.219,2.501,1.353,1.337,4.506,2.501,4.502,2.5,,,,,,,,,,,,,,,,
25,5,2v5,4.503,2.502,4.497,2.496,4.512,2.502,4.498,2.504,4.22,2.501,1.272,1.325,4.508,2.501,4.502,2.501,,,,,,,,,,,,,,,,
25,6,2v5,4.504,2.503,4.499,2.496,4.513,2.503,4.501,2.503,4.222,2.501,1.286,1.254,4.508,2.5,4.504,2.5,,,,,,,,,,,,,,,,
25,7,2v5,4.506,2.503,4.5,2.496,4.515,2.502,4.5,2.503,4.223,2.502,1.312,1.366,4.51,2.501,4.504,2.5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0,halfVdd,4.869,2.532,4.471,2.51,4.911,2.505,4.96,2.519,4.626,2.499,4.584,2.509,4.584,2.509,4.504,2.503,,,,,,,,,,,,,,,,
25,1,halfVdd,4.869,2.532,4.471,2.51,4.911,2.504,4.96,2.518,4.627,2.498,4.585,2.509,4.586,2.509,4.503,2.503,,,,,,,,,,,,,,,,
25,2,halfVdd,4.87,2.531,4.473,2.509,4.912,2.503,4.959,2.518,4.628,2.498,4.587,2.508,4.587,2.508,4.504,2.502,,,,,,,,,,,,,,,,
25,3,halfVdd,4.871,2.531,4.474,2.508,4.913,2.502,4.96,2.517,4.629,2.497,4.588,2.508,4.587,2.508,4.506,2.502,,,,,,,,,,,,,,,,
25,4,halfVdd,4.872,2.53,4.475,2.509,4.914,2.503,4.959,2.516,4.631,2.497,4.589,2.508,4.589,2.507,4.507,2.501,,,,,,,,,,,,,,,,
25,5,halfVdd,4.873,2.53,4.476,2.508,4.915,2.502,4.96,2.516,4.633,2.497,4.59,2.508,4.59,2.508,4.507,2.502,,,,,,,,,,,,,,,,
25,6,halfVdd,4.874,2.53,4.477,2.508,4.916,2.502,4.958,2.516,4.633,2.497,4.591,2.507,4.591,2.507,4.509,2.501,,,,,,,,,,,,,,,,
25,7,halfVdd,4.875,2.529,4.479,2.508,4.917,2.501,4.958,2.516,4.635,2.496,4.592,2.507,4.592,2.507,4.511,2.5,,,,,,,,,,,,,,,,
