C:\Users\Work\Documents\Github\SKCS_GUI_AUTO\SenkoMicro-SKCS-GUI - auto\OneWire_GUI_CurrentSensor_v3\CurrentSensorV3\bin\Release\Sweep620Offset-1-17-05-31-04-05-20.csv,,,,,
Coarse Offset,,,,,
IP,Vip1,Vip2,Voffset,,
0,4.069,4.0694,2.6054,,1.464
1,4.0485,4.0484,2.5924,,1.456
2,4.0274,4.0283,2.5797,,1.4486
3,4.0058,4.007,2.5674,,1.4396
4,3.9848,3.985,2.5555,,1.4295
5,3.9646,3.9642,2.5418,,1.4224
6,3.9429,3.9424,2.5287,,1.4137
7,3.9195,3.9199,2.5154,,1.4045
8,3.8971,3.8968,2.5014,,1.3954
9,3.8741,3.8736,2.4871,,1.3865
10,3.8508,3.8505,2.4722,,1.3783
11,3.8259,3.8263,2.4571,,1.3692
12,3.8038,3.8031,2.4422,,1.3609
13,3.7784,3.7782,2.4277,,1.3505
14,3.7545,3.7543,2.4126,,1.3417
15,3.7304,3.73,2.3984,,1.3316
16,4.4279,4.4277,2.8187,,1.609
17,4.4075,4.4082,2.8066,,1.6016
18,4.387,4.3879,2.794,,1.5939
19,4.366,4.3677,2.7824,,1.5853
20,4.3458,4.3454,2.7693,,1.5761
21,4.3234,4.3234,2.7565,,1.5669
22,4.3013,4.3025,2.7436,,1.5589
23,4.28,4.2794,2.7297,,1.5497
24,4.2581,4.2583,2.7169,,1.5414
25,4.2345,4.2349,2.7028,,1.5321
26,4.2118,4.2115,2.6888,,1.5227
27,4.1873,4.1868,2.6737,,1.5131
28,4.1631,4.163,2.6594,,1.5036
29,4.1388,4.1391,2.6455,,1.4936
30,4.1145,4.115,2.6312,,1.4838
31,4.0896,4.0897,2.6167,,1.473
Fine Offset,,,,,
0,4.0704,4.0702,2.6033,,1.4669
1,4.066,4.0666,2.6012,,1.4654
2,4.0633,4.0623,2.5962,,1.4661
3,4.0585,4.059,2.5919,,1.4671
4,4.0548,4.0546,2.5895,,1.4651
5,4.0523,4.0518,2.5849,,1.4669
6,4.0476,4.0482,2.581,,1.4672
7,4.0445,4.0445,2.5785,,1.466
8,4.0409,4.041,2.5746,,1.4664
9,4.0362,4.0372,2.5711,,1.4661
10,4.0333,4.0331,2.5673,,1.4658
11,4.0287,4.0294,2.5645,,1.4649
12,4.0262,4.0258,2.5606,,1.4652
13,4.0227,4.0222,2.5568,,1.4654
14,4.0188,4.0194,2.5533,,1.4661
15,4.0157,4.0156,2.5493,,1.4663
16,4.1301,4.1295,2.6614,,1.4681
17,4.1264,4.1261,2.6597,,1.4664
18,4.1218,4.1221,2.655,,1.4671
19,4.1189,4.1187,2.6516,,1.4671
20,4.1144,4.1146,2.6478,,1.4668
21,4.111,4.1104,2.6436,,1.4668
22,4.1073,4.1077,2.6402,,1.4675
23,4.1039,4.103,2.6364,,1.4666
24,4.0997,4.1,2.6329,,1.4671
25,4.0957,4.0968,2.6293,,1.4675
26,4.0923,4.0923,2.6252,,1.4671
27,4.0889,4.0889,2.622,,1.4669
28,4.085,4.0857,2.6178,,1.4679
29,4.0816,4.0822,2.6145,,1.4677
30,4.0783,4.0778,2.6112,,1.4666
31,4.0748,4.0751,2.6075,,1.4676
